Email Text,Category
How much is the monthly premium for my policy?,Policy Inquiry
Please correct the spelling of my last name.,Update Personal Info
Can you resend the payment confirmation?,Claim Status
Can you tell me the co-pay for specialist visits?,Policy Inquiry
I need to remove an old address from my file.,Update Personal Info
Why is my claim taking so long to process?,Claim Status
Can you confirm if my claim was approved?,Claim Status
Is maternity covered under my health insurance?,Policy Inquiry
I need information on plan renewal options.,Policy Inquiry
My name has legally changed, please modify the records.,Update Personal Info
Can I restart my old policy?,Policy Inquiry
I want to receive notifications via SMS now.,Update Personal Info
Claim ID 12345 shows incomplete, what is the issue?,Claim Status
Please tell me if my claim was denied or accepted.,Claim Status
How long do claims usually take to process?,Claim Status
Can you check the status of my maternity claim?,Claim Status
Can I upgrade to a better insurance plan?,Policy Inquiry
Please send me my insurance policy document.,Policy Inquiry
I want to opt-in for paperless communication.,Update Personal Info
Do you offer temporary coverage plans?,Policy Inquiry
Has my reimbursement been processed yet?,Claim Status
Can you help me understand my out-of-pocket costs?,Policy Inquiry
Please update my contact number.,Update Personal Info
I need details about the benefits included in my plan.,Policy Inquiry
Is there any document missing for my claim?,Claim Status
Please confirm if claim 998877 has been finalized.,Claim Status
Please update my emergency contact details.,Update Personal Info
Can I extend my policy after the expiry date?,Policy Inquiry
I need an update on my submitted claim from last month.,Claim Status
Does my plan cover annual health check-ups?,Policy Inquiry
I have changed my address, please update it.,Update Personal Info
My ZIP code has changed recently, please update.,Update Personal Info
Can you explain my health insurance coverage?,Policy Inquiry
Did my dental procedure claim go through?,Claim Status
Update my work phone number in your system.,Update Personal Info
Are prescription drugs covered under my plan?,Policy Inquiry
I prefer to be contacted via email only, please note.,Update Personal Info
Is my prescription reimbursement being handled?,Claim Status
What is the deductible on my plan?,Policy Inquiry
Can you send me the breakdown of my approved claim?,Claim Status
Can I cancel my current policy online?,Policy Inquiry
What is the coverage limit per year?,Policy Inquiry
My claim ID is 54321, has it been processed?,Claim Status
I want to know if I am eligible for a family plan.,Policy Inquiry
Please update my bank account for reimbursements.,Update Personal Info
Is mental health counseling included in the policy?,Policy Inquiry
I submitted a claim last week, any updates?,Claim Status
Are there penalties for late premium payments?,Policy Inquiry
I want to change my preferred communication language.,Update Personal Info
What happens if I miss a payment?,Policy Inquiry
I need a claim summary report, please.,Claim Status
I want to know more about coverage for chronic illnesses.,Policy Inquiry
Please change my preferred mailing address.,Update Personal Info
I recently moved. Please update my address.,Update Personal Info
I need to update my emergency contact details.,Update Personal Info
My bank account has changed for reimbursements.,Update Personal Info
What is the status of my recent claim?,Claim Status
Please update my marital status in your records.,Update Personal Info
Are you waiting for any more documents for my claim?,Claim Status
Is there a plan that includes gym memberships?,Policy Inquiry
Can you confirm if my claim was approved?,Claim Status
How can I switch to a different insurance plan?,Policy Inquiry
I want to know more about my current health insurance plan.,Policy Inquiry
Do I have dental coverage in my current plan?,Policy Inquiry
The app shows my claim is denied, can you confirm?,Claim Status
My name is spelled incorrectly, please fix it.,Update Personal Info
Can you add my spouse as an emergency contact?,Update Personal Info
Please change the name on the policy to match my ID.,Update Personal Info
What is the waiting period for new policies?,Policy Inquiry
When will I receive payment for my submitted claim?,Claim Status
Can you check if claim 789012 has been approved?,Claim Status
Please resend the claim confirmation email.,Claim Status
I want to add dental coverage to my plan.,Policy Inquiry
Is my emergency room visit claim covered?,Claim Status
I have changed my phone number, please update it.,Update Personal Info
Can you provide the claim status for my last visit?,Claim Status
I want to remove my old phone number from your records.,Update Personal Info
Has the claim been rejected? I did not receive anything.,Claim Status
Do you offer vision and eye exam coverage?,Policy Inquiry
I need help understanding my billing summary.,Policy Inquiry
I want to receive updates only by email, please update.,Update Personal Info
My spouse is now my dependent, please update the record.,Update Personal Info
I submitted claim 112233 last month, any update?,Claim Status
Please confirm the mailing address you have on file.,Update Personal Info
Can I add a family member to my insurance?,Policy Inquiry
Please update my contact preferences to SMS.,Update Personal Info
Has my vision care reimbursement gone through?,Claim Status
I need to change my email address on file.,Update Personal Info
I would like to update my primary physician info.,Update Personal Info
Do I need prior authorization for surgery?,Policy Inquiry
My policy renewal confirmation is missing.,Policy Inquiry
Can you re-send the claim rejection reason?,Claim Status
Can I get coverage for physical therapy sessions?,Policy Inquiry
Claim status for my dental visit is still unclear.,Claim Status
Do I have to reapply each year for the same plan?,Policy Inquiry
Kindly update my communication language preference.,Update Personal Info
